MANUFACTURER,FAMILY,MODEL,IDPICTURE
HP,LaserJet,LaserJet Professional P 2015 n,10694
HP,LaserJet,LaserJet Professional P 2013,13120
HP,LaserJet,LaserJet Professional P 2015 x,10694
HP,LaserJet M,LaserJet M 2700 Series,14866
HP,LaserJet,LaserJet Professional P 2015 d,10694
HP,LaserJet,LaserJet Professional P 2015 dn,10694
HP,LaserJet,LaserJet Professional P 2011,13120
HP,LaserJet,LaserJet Professional P 2015,10694
HP,LaserJet,LaserJet Professional P 2011 n,13120
HP,LaserJet,LaserJet Professional P 2014,13120
HP,LaserJet,LaserJet Professional P 2012 n,13120
HP,LaserJet P,LaserJet P 2011,13120
HP,LaserJet P,LaserJet P 2011 n,13120
HP,LaserJet,LaserJet Professional P 2014 n,13120
HP,LaserJet P,LaserJet P 2013 N,13120
HP,LaserJet P,LaserJet P 2012 N,13120
HP,LaserJet P,LaserJet P 2013,13120
HP,LaserJet P,LaserJet P 2012,13120
HP,LaserJet M,LaserJet M 2727 NF MFP,14866
HP,LaserJet P,LaserJet P 2014 N,13120
HP,LaserJet P,LaserJet P 2014,13120
HP,LaserJet P,LaserJet P 2015 X,10694
HP,LaserJet P,LaserJet P 2015 N,10694
HP,LaserJet P,LaserJet P 2015 DN,10694
HP,LaserJet P,LaserJet P 2015 D,10694
HP,LaserJet P,LaserJet P 2015,10694
Kyocera,FS,FS-1800 Series,1940
Kyocera,FS,FS-1800 DTN Plus,1940
Kyocera,FS,FS-1800 TN Plus,1940
Kyocera,FS,FS-1800 T Plus,1940
Kyocera,FS,FS-1800 Plus N,1940
Kyocera,FS,FS-1800 N,1940
Kyocera,FS,FS-1800,1940
Kyocera,FS,FS-1800 Plus,1940
Kyocera,FS,FS-3800 T,1941
Kyocera,FS,FS-3800 TN,1941
Kyocera,FS,FS-3800 DTN,1941
Kyocera,FS,FS-3800 DN,1941
Kyocera,FS,FS-3800 D,1941
Kyocera,FS,FS-3800 N,1941
Kyocera,FS,FS-3800,1941
Samsung,SF,SF-530 Series,1834
Samsung,SF,SF-5100 Series,2108
Samsung,SF,SF-531,1834
Samsung,SF,SF-515,2157
Samsung,SF,SF-5100 P,2108
Samsung,SF,SF-5100,2108
Samsung,SF,SF-531 P,1834
Samsung,SF,SF-535 E,
Samsung,SF,SF-530,1834
Canon,LBP,LBP-6500 Series,
HP,LaserJet,LaserJet 5200 Series,30120
Canon,LBP,LBP-3500,
HP,LaserJet,LaserJet 5200 L,30120
HP,LaserJet,LaserJet 5200 DTN,30121
HP,LaserJet,LaserJet 5200 TN,30121
HP,LaserJet,LaserJet 5200,30120
Canon,LBP,LBP-3950,69293
Canon,LBP,LBP-3900 Series,69293
Canon,LBP,LBP-3970,69292
Canon,LBP,LBP-3930,69293
Canon,LBP,LBP-3920,69293
Canon,LBP,LBP-6535,
Canon,LBP,LBP-6525,
Canon,LBP,LBP-5350,
Canon,LBP,LBP-5250,
Canon,LBP,LBP-3530,
Canon,LBP,LBP-3520,
Xerox,Phaser,Phaser 3130 Series,4583
Xerox,Phaser,Phaser 3116,4583
Xerox,Phaser,Phaser 3132,4583
Xerox,Phaser,Phaser 3131,4583
Xerox,Phaser,Phaser 3121,4583
Xerox,Phaser,Phaser 3120,4583
Xerox,Phaser,Phaser 3130,4583
Samsung,CLP,CLP-660 Series,18455
Muratec,MFX,MFX-C 2500,
Samsung,CLP,CLP-661 NK,18455
Samsung,CLP,CLP-661 NDKG,18455
Samsung,CLP,CLP-661 NDK,18455
Samsung,CLP,CLP-615 NDK,15744
Samsung,CLP,CLP-612 NDK,15744
Samsung,CLP,CLP-611 NDKG,15744
Samsung,CLP,CLP-611 NDK,15744
Samsung,CLP,CLP-607 N,15744
Samsung,CLP,CLP-605 NDKG,15744
Samsung,CLP,CLP-605 NDK,15744
Samsung,CLP,CLP-660 ND,18455
Samsung,CLP,CLP-660 N,18455
Canon,Fax L,Fax L 380 Series,5997
Canon,Faxphone,Faxphone L 150,1970
Canon,Satera,Satera D 350,4875
Canon,I-Sensys,I-Sensys Fax L 390,5997
Canon,I-Sensys,I-Sensys Fax L 380 S,5997
Canon,Fax L,Fax L 390,5997
Canon,Fax L,Fax L 380 S,5997
Canon,Imageclass D,ImageClass D 383,4875
Canon,Laser Class,Laser Class 310,8972
Canon,Faxphone,Faxphone L 170,1970
Canon,Fax L,Fax L 400,2046
Canon,Laser Class,Laser Class 510,4875
Canon,Imageclass D,ImageClass D 340,4875
Canon,Imageclass D,ImageClass D 320,4875
Canon,PC-D,PC-D 340,4875
Canon,PC-D,PC-D 320,4875
Canon,Fax L,Fax L 380,5997
Canon,Pixma,Pixma MP 450 Series,7963
Canon,Pixma,Pixma MP 450 X,7963
Canon,Pixma,Pixma MP 460,9948
Canon,Pixma,Pixma MP 180,9947
Canon,Pixma,Pixma MP 160,9946
Canon,Pixma,Pixma MP 450,7963
Canon,Pixma,Pixma MP 170,7966
Canon,Pixma,Pixma MP 150,7965
Canon,Pixma,Pixma IP 2200,7953
HP,Envy,Envy 114 e-All-in-One,37396
HP,Envy,Envy 120 Series,43053
HP,Envy,Envy 110 e-All-in-One,37396
HP,Envy,Envy 110 Series,37396
HP,Photosmart,PhotoSmart e-All-in-One D 110 Series,30142
HP,DeskJet D,DeskJet D 5600 Series,26144
HP,Envy,Envy 111 e-All-in-One,37396
HP,DeskJet F,DeskJet F 4588,27844
HP,Envy,Envy 100 e-All-in-One,36189
HP,DeskJet D,DeskJet D 5500 Series,26596
HP,DeskJet F,DeskJet F 4400 Series,27836
HP,Envy,Envy 120 e-All-in-One,43053
HP,Envy,Envy 121 e-All-in-One,43053
HP,DeskJet D,DeskJet D 5568,26596
HP,DeskJet F,DeskJet F 4583,27844
HP,DeskJet F,DeskJet F 4580,27844
HP,Photosmart C,PhotoSmart C 4799,26597
HP,Photosmart C,PhotoSmart C 4793,26597
HP,Photosmart C,PhotoSmart C 4785,26597
HP,Photosmart C,PhotoSmart C 4690,26597
HP,Photosmart C,PhotoSmart C 4688,26597
HP,Photosmart C,PhotoSmart C 4685,26597
HP,Photosmart C,PhotoSmart C 4683,26597
HP,Photosmart C,PhotoSmart C 4673,26597
HP,Photosmart C,PhotoSmart C 4670,26597
HP,Photosmart C,PhotoSmart C 4635,26597
HP,Photosmart C,PhotoSmart C 4610,26597
HP,DeskJet F,DeskJet F 4492,27836
HP,DeskJet F,DeskJet F 4488,27836
HP,DeskJet F,DeskJet F 4483,27836
HP,DeskJet F,DeskJet F 4473,27836
HP,DeskJet F,DeskJet F 4472,27836
HP,DeskJet F,DeskJet F 4470,27836
HP,DeskJet F,DeskJet F 4450,27836
HP,DeskJet F,DeskJet F 2483,26683
HP,DeskJet F,DeskJet F 2423,26683
HP,DeskJet F,DeskJet F 2418,26683
HP,DeskJet F,DeskJet F 2410,26683
HP,DeskJet F,DeskJet F 2488,26683
HP,DeskJet F,DeskJet F 2492,26683
HP,DeskJet F,DeskJet F 2493,26683
HP,DeskJet F,DeskJet F 2476,26683
HP,DeskJet F,DeskJet F 2440,26683
HP,DeskJet F,DeskJet F 2420,26683
HP,Photosmart C,PhotoSmart C 4788,26597
HP,Photosmart C,PhotoSmart C 4783,26597
HP,Photosmart C,PhotoSmart C 4780,26597
HP,DeskJet F,DeskJet F 4238,19339
HP,DeskJet D,DeskJet D 1600 Series,26595
HP,DeskJet D,DeskJet D 1658,26595
HP,DeskJet D,DeskJet D 1663,26595
HP,DeskJet D,DeskJet D 1660,26595
HP,DeskJet D,DeskJet D 5563,26596
HP,DeskJet D,DeskJet D 5560,26596
HP,DeskJet D,DeskJet D 1668,26595
HP,Photosmart C,PhotoSmart C 4795,26597
HP,Photosmart C,PhotoSmart C 4750,26597
HP,Photosmart C,PhotoSmart C 4740,26597
HP,Photosmart C,PhotoSmart C 4680,26597
HP,Photosmart C,PhotoSmart C 4650,26597
HP,Photosmart C,PhotoSmart C 4640,26597
HP,DeskJet F,DeskJet F 4480,27836
HP,DeskJet F,DeskJet F 4440,27836
HP,DeskJet F,DeskJet F 4435,27836
HP,DeskJet D,DeskJet D 2680,25544
HP,DeskJet F,DeskJet F 2430,26683
HP,DeskJet F,DeskJet F 2480,26683
HP,Photosmart C,PhotoSmart C 4600 Series,26597
HP,Photosmart C,PhotoSmart C 4700 Series,26597
HP,Photosmart,PhotoSmart e-All-in-One D 110 b,30142
HP,Photosmart,PhotoSmart e-All-in-One D 110 a,30142
HP,DeskJet F,DeskJet F 2400 Series,26683
HP,DeskJet F,DeskJet F 4500 Series,27844
HP,DeskJet D,DeskJet D 5668,26144
HP,DeskJet D,DeskJet D 2600 Series,25544
HP,DeskJet F,DeskJet F 4294,19339
HP,DeskJet F,DeskJet F 4224,19412
HP,DeskJet F,DeskJet F 4288,19339
HP,DeskJet D,DeskJet D 5660,26144
HP,DeskJet F,DeskJet F 4424,27835
HP,DeskJet F,DeskJet F 4200 Series,19412
HP,DeskJet D,DeskJet D 2668,25544
HP,DeskJet F,DeskJet F 4283,19339
HP,DeskJet D,DeskJet D 2645,25544
HP,DeskJet F,DeskJet F 4235,19412
HP,DeskJet F,DeskJet F 4275,19412
HP,DeskJet F,DeskJet F 4273,19412
HP,DeskJet D,DeskJet D 2660,25544
HP,DeskJet F,DeskJet F 4292,19339
HP,DeskJet F,DeskJet F 4230,19412
HP,DeskJet D,DeskJet D 2666,25544
HP,DeskJet D,DeskJet D 2530,17945
HP,DeskJet D,DeskJet D 2560,19443
HP,DeskJet D,DeskJet D 5663,26144
HP,DeskJet F,DeskJet F 4290,19339
HP,DeskJet D,DeskJet D 2545,18376
HP,DeskJet D,DeskJet D 2563,19443
HP,DeskJet F,DeskJet F 4210,19412
HP,DeskJet F,DeskJet F 4280,19339
HP,DeskJet D,DeskJet D 2663,25544
HP,DeskJet F,DeskJet F 4293,19339
HP,DeskJet F,DeskJet F 4250,19339
HP,DeskJet F,DeskJet F 4213,19412
HP,DeskJet F,DeskJet F 4240,19339
HP,DeskJet F,DeskJet F 4274,19412
HP,DeskJet D,DeskJet D 2566,19443
HP,DeskJet F,DeskJet F 4272,19412
HP,Photosmart C,PhotoSmart C 4390,12790
HP,Photosmart C,PhotoSmart C 4540,21284
HP,Photosmart C,PhotoSmart C 4599,21284
HP,Photosmart C,PhotoSmart C 4475,19340
HP,Photosmart C,PhotoSmart C 4480,19340
HP,Photosmart C,PhotoSmart C 4593,21284
HP,Photosmart C,PhotoSmart C 4488,19340
HP,Photosmart C,PhotoSmart C 4550,21284
HP,Photosmart C,PhotoSmart C 4410,19340
HP,Photosmart C,PhotoSmart C 4575,21284
HP,Photosmart C,PhotoSmart C 4485,19340
HP,Photosmart C,PhotoSmart C 4585,21284
HP,Photosmart C,PhotoSmart C 4473,19340
HP,Photosmart C,PhotoSmart C 4472,19340
HP,Photosmart C,PhotoSmart C 4470,19340
HP,Photosmart C,PhotoSmart C 4500 Series,21284
HP,Photosmart C,PhotoSmart C 4572,21284
HP,Photosmart C,PhotoSmart C 4486,19340
HP,Photosmart C,PhotoSmart C 4588,21284
HP,Photosmart C,PhotoSmart C 4424,19340
HP,Photosmart C,PhotoSmart C 4494,19340
HP,Photosmart C,PhotoSmart C 4435,19340
HP,OfficeJet J,OfficeJet J 5790,11102
HP,Photosmart C,PhotoSmart C 4493,19340
HP,Photosmart C,PhotoSmart C 4340,14752
HP,Photosmart C,PhotoSmart C 4570,21284
HP,Photosmart C,PhotoSmart C 4345,19674
HP,Photosmart C,PhotoSmart C 4573,21284
HP,Photosmart C,PhotoSmart C 4583,21284
HP,Photosmart C,PhotoSmart C 4524,21284
HP,Photosmart C,PhotoSmart C 4580,21284
HP,Photosmart C,PhotoSmart C 4324,14752
HP,Photosmart C,PhotoSmart C 4285,12790
HP,Photosmart C,PhotoSmart C 4270,12790
HP,Photosmart C,PhotoSmart C 4273,12790
HP,OfficeJet J,OfficeJet J 5788,11102
HP,Photosmart C,PhotoSmart C 4240,12790
HP,Photosmart C,PhotoSmart C 4388,14752
HP,Photosmart C,PhotoSmart C 4384,14752
HP,Photosmart C,PhotoSmart C 4383,14752
HP,Photosmart C,PhotoSmart C 4380,14752
HP,Photosmart C,PhotoSmart C 4385,14752
HP,OfficeJet J,OfficeJet J 5783,11102
HP,Photosmart C,PhotoSmart C 4400 Series,19340
HP,Photosmart C,PhotoSmart C 4440,19340
HP,Photosmart C,PhotoSmart C 4300 Series,14752
HP,Photosmart C,PhotoSmart C 4200 Series,12790
HP,Photosmart C,PhotoSmart C 4250,12790
HP,Photosmart C,PhotoSmart C 4225,12790
HP,Photosmart C,PhotoSmart C 4283,12790
HP,Photosmart C,PhotoSmart C 4280,12790
HP,OfficeJet J,OfficeJet J 5785,11102
HP,Photosmart C,PhotoSmart C 4450,19340
HP,OfficeJet J,OfficeJet J 5780,11102
HP,Photosmart C,PhotoSmart C 4483,19340
HP,OfficeJet J,OfficeJet J 5742,11102
HP,OfficeJet J,OfficeJet J 5725,11102
HP,OfficeJet J,OfficeJet J 5735,11102
HP,OfficeJet J,OfficeJet J 5738,11102
HP,OfficeJet J,OfficeJet J 5750,11102
HP,OfficeJet J,OfficeJet J 5740,11102
HP,OfficeJet J,OfficeJet J 5730,11102
HP,DeskJet D,DeskJet D 4200 Series,12584
HP,DeskJet D,DeskJet D 4368,18624
HP,DeskJet D,DeskJet D 4363,18624
HP,DeskJet D,DeskJet D 4300 Series,18624
HP,DeskJet D,DeskJet D 4360,18624
HP,DeskJet D,DeskJet D 4260,12584
HP,DeskJet D,DeskJet D 4268,12584
HP,DeskJet D,DeskJet D 4263,12584
HP,OfficeJet J,OfficeJet J 6415,16330
HP,Photosmart C,PhotoSmart C 5580,21624
HP,OfficeJet J,OfficeJet J 6488,16330
HP,Photosmart D,PhotoSmart D 5355,15844
HP,OfficeJet J,OfficeJet J 6480,16330
HP,OfficeJet J,OfficeJet J 6413,16330
HP,OfficeJet J,OfficeJet J 6410,16330
HP,OfficeJet J,OfficeJet J 6450,16330
HP,Photosmart D,PhotoSmart D 5345,15844
HP,OfficeJet J,OfficeJet J 6424,16330
HP,OfficeJet J,OfficeJet J 6400 Series,16330
HP,Photosmart D,PhotoSmart D 5360,15844
HP,Photosmart D,PhotoSmart D 5368,15844
HP,Photosmart D,PhotoSmart D 5363,15844
HP,Photosmart D,PhotoSmart D 5300 Series,15844
HP,OfficeJet J,OfficeJet J 6405,16330
HP,Photosmart C,PhotoSmart C 5293,13119
HP,Photosmart C,PhotoSmart C 5290,13119
HP,Photosmart C,PhotoSmart C 5288,13119
HP,Photosmart C,PhotoSmart C 5275,13119
HP,Photosmart C,PhotoSmart C 5200 Series,13119
HP,Photosmart C,PhotoSmart C 5273,13119
HP,Photosmart C,PhotoSmart C 5270,13119
HP,Photosmart C,PhotoSmart C 5250,13119
HP,Photosmart C,PhotoSmart C 5240,13119
HP,Photosmart C,PhotoSmart C 5283,13119
HP,Photosmart C,PhotoSmart C 5280,13119
HP,Photosmart A,PhotoSmart A 430 Series,10108
HP,Photosmart A,PhotoSmart A 310 Series,14568
HP,Photosmart A,PhotoSmart A 520 Series,14565
HP,Photosmart A,PhotoSmart A 510 Series,9631
HP,Photosmart A,PhotoSmart A 320 Series,14568
HP,Photosmart A,PhotoSmart A 440 Series,12287
HP,Photosmart A,PhotoSmart A 646,27840
HP,Photosmart A,PhotoSmart A 441,12287
HP,Photosmart A,PhotoSmart A 636,13990
HP,Photosmart A,PhotoSmart A 532,19364
HP,Photosmart A,PhotoSmart A 321,14568
HP,Photosmart A,PhotoSmart A 444,14868
HP,Photosmart A,PhotoSmart A 320,14568
HP,Photosmart A,PhotoSmart A 316,14568
HP,Photosmart A,PhotoSmart A 314,14568
HP,Photosmart A,PhotoSmart A 311,14568
HP,Photosmart A,PhotoSmart A 310,14568
HP,Photosmart A,PhotoSmart A 440,12287
HP,Photosmart A,PhotoSmart A 446,12286
HP,Photosmart A,PhotoSmart A 442,12285
HP,Photosmart A,PhotoSmart A 512,9631
HP,Photosmart A,PhotoSmart A 510,9631
HP,Photosmart A,PhotoSmart A 617,9701
HP,Photosmart A,PhotoSmart A 712,9702
HP,Photosmart A,PhotoSmart A 528,14565
HP,Photosmart A,PhotoSmart A 526,14565
HP,Photosmart A,PhotoSmart A 522 XI,14565
HP,Photosmart A,PhotoSmart A 522,14565
HP,Photosmart A,PhotoSmart A 828,14547
HP,Photosmart A,PhotoSmart A 827,14547
HP,Photosmart A,PhotoSmart A 826,14547
HP,Photosmart A,PhotoSmart A 628,13990
HP,Photosmart A,PhotoSmart A 627,13990
HP,Photosmart A,PhotoSmart A 622,13990
HP,Photosmart A,PhotoSmart A 620,13990
HP,Photosmart A,PhotoSmart A 626,13990
HP,Photosmart A,PhotoSmart A 820 Series,14547
HP,Photosmart A,PhotoSmart A 610 Series,9701
HP,Photosmart A,PhotoSmart A 620 Series,13990
HP,Photosmart A,PhotoSmart A 710 Series,9702
HP,Photosmart A,PhotoSmart A 445,12286
HP,Photosmart A,PhotoSmart A 436,10108
HP,Photosmart A,PhotoSmart A 434,9704
HP,Photosmart A,PhotoSmart A 717,9703
HP,Photosmart A,PhotoSmart A 716,9702
HP,Photosmart A,PhotoSmart A 616,9701
HP,Photosmart A,PhotoSmart A 618,9701
HP,Photosmart A,PhotoSmart A 612,9701
HP,Photosmart A,PhotoSmart A 610,9701
HP,Photosmart A,PhotoSmart A 430,9632
HP,Photosmart A,PhotoSmart A 516,9631
HP,Photosmart A,PhotoSmart A 433,9704
HP,Photosmart A,PhotoSmart A 432,9704
HP,DesignJet,DesignJet 510 Series,22225
HP,DesignJet,DesignJet 510 42 Inch,22224
HP,DesignJet,DesignJet 510 24 Inch,22225
HP,DesignJet,DesignJet 510 PS 24 Inch,
HP,DesignJet,DesignJet 510 PS 42 Inch,22224
HP,DesignJet,DesignJet 500 Mono,696
HP,DesignJet,DesignJet 820 MFP,4994
HP,DesignJet,DesignJet 800 PS 24 Inch,4993
HP,DesignJet,DesignJet 800 PS,4993
HP,DesignJet,DesignJet 800 24 Inch,4993
HP,DesignJet,DesignJet 800 42 Inch,4993
HP,DesignJet,DesignJet 500 PS Plus 24 Inch,696
HP,DesignJet,DesignJet 500 PS Plus 42 Inch,696
HP,DesignJet,DesignJet 500 PS 42 Inch,696
HP,DesignJet,DesignJet 500 PS 24 Inch,696
HP,DesignJet,DesignJet 500 Plus 42 Inch,696
HP,DesignJet,DesignJet 500 Plus 24 Inch,696
HP,DesignJet,DesignJet 500 24 Inch,696
HP,DesignJet,DesignJet 500 42 Inch,696
Stielow,Other,5951 E,2233
HP,DesignJet,DesignJet 815 MFP,4994
HP,DesignJet,DesignJet 800 PS 42 Inch,4993
HP,DesignJet,DesignJet 800,4993
Stielow,Other,5951,2233
HP,DesignJet,DesignJet CC 800 PS,25724
HP,DesignJet,DesignJet 500 PS,696
HP,DesignJet,DesignJet 500,696
HP,DesignJet,DesignJet 500 E,
HP,DesignJet,DesignJet 120 Series,30135
HP,DesignJet,DesignJet 120 PSN,30135
HP,DesignJet,DesignJet 120 PS,30135
HP,DesignJet,DesignJet 120 NR,30135
HP,DesignJet,DesignJet 120,30135
HP,DesignJet,DesignJet 50 PS,692
HP,DesignJet,DesignJet 20 PS,692
HP,DesignJet,DesignJet 10 PS,692
Konica Minolta,Fax,Fax 9400 Series,
Canon,Fax B,Fax B 320 Series,
Canon,Fax B,Fax B 340 Series,
Canon,Fax B,Fax B 360 Series,
NRG,P,P 295 Fax,
Canon,Fax B,Fax B 360 IF,
Canon,Faxphone,Faxphone B 140,
Canon,Faxphone,Faxphone B 150,
Canon,Faxphone,Faxphone B 160,
Canon,Faxphone,Faxphone B 170,
Utax,Other,BF 2,
Texas Instruments,Other,Fax JT 30,
Ricoh,Fax,Fax 800,
Savin,Savinfax,Savinfax 3610,
Sanyo,SFX,SFX 60,1441
Sanyo,SFX,SFX 50,
Sanyo,SFX,SFX 40,
Omnifax,Other,JT 30,
Konica Minolta,Minoltafax,Minoltafax 1300,956
Konica Minolta,Minoltafax,Minoltafax 1200,
Konica Minolta,Fax,Fax 9450,
Konica Minolta,Fax,Fax 9410,
Infotec,Fax,Fax 3520,
Grundig,Other,PPF 1500 C,
Develop,Defax,Defax 2300,
Develop,Defax,Defax 2200,
Canon,Multipass,Multipass B 360,
Canon,Faxphone,Faxphone 160,
Canon,Faxphone,Faxphone 140,
Canon,Fax,Fax VP 500,
Canon,Fax,Fax HD 40,
Canon,Fax B,Fax B 75,
Canon,Fax B,Fax B 70,
Canon,Fax B,Fax B 60,306
Canon,Fax B,Fax B 405,
Canon,Fax B,Fax B 360,304
Canon,Fax B,Fax B 340 F,
Canon,Fax B,Fax B 340,
Canon,Fax B,Fax B 320 F,
Canon,Fax B,Fax B 320,
Canon,Fax B,Fax B 310,
Canon,Fax B,Fax B 220,
Amstrad,Other,SJ 140,
Amstrad,Other,PPF 300,
Amstrad,Other,PPF 200,
Amstrad,Other,PPF 100,
Canon,Pixus,Pixus 80 I,5996
Canon,Pixus,Pixus 50 I,1707
Canon,I,I 70,1707
Canon,I,I 80,5996
Canon,Compri,Compri BN 700 Series,
Canon,BJ,BJ-M 40,155
Canon,Other,LR 1 Printstation,
Canon,BJC,BJC 80,154
Canon,BJC,BJC 70,
Canon,BJC,BJC 50,155
Canon,I,IJ 80,
Canon,Compri,Compri BN 750,
Canon,Compri,Compri BN 700-4 D,
Canon,Compri,Compri BN 700-4,
Canon,Compri,Compri BN 700-3,
Canon,Compri,Compri BN 700 C,
Apple,Color Stylewriter,Color Stylewriter 2200,
Canon,Notejet,Notejet III CX,
Canon,BJC,BJC 35 V,
Canon,Starwriter,Starwriter JET 4000,
Canon,Starwriter,Starwriter JET 300,
Canon,BJC,BJC 35,
Canon,BJ,BJ 30,
Canon,I,IJ 40,
Canon,BJ,BJ-M 70,154
Canon,BJC,BJC 55,155
Canon,BJC,BJC 85 W,154
Canon,BJC,BJC 85,154
HP,DesignJet,DesignJet 650 Series,
HP,DesignJet,DesignJet 650 PS,
HP,DesignJet,DesignJet 650 E,
HP,DesignJet,DesignJet 650 D,
HP,DesignJet,DesignJet 650 C-E,
HP,DesignJet,DesignJet 650 C-D,
HP,DesignJet,DesignJet 650 C Plus,
HP,DesignJet,DesignJet 650 C,
HP,DesignJet,DesignJet 250 C,
HP,DesignJet,DesignJet 350 Series,6304
HP,DesignJet,DesignJet 450 Series,
HP,DesignJet,DesignJet 480 Series,2597
HP,DesignJet,DesignJet 488 CA 24 Inch,2597
HP,DesignJet,DesignJet 455 CA 36 Inch,
HP,DesignJet,DesignJet 488 CA 36 Inch,2597
HP,DesignJet,DesignJet 455 CA 24 Inch,
HP,DesignJet,DesignJet 450 C,
HP,DesignJet,DesignJet 350 C Plus,6304
HP,DesignJet,DesignJet 350 C,6304
HP,DesignJet,DesignJet 430 Series,6306
HP,DesignJet,DesignJet 330,
HP,DesignJet,DesignJet 430 36 Inch,6306
HP,DesignJet,DesignJet 430 D,6306
HP,DesignJet,DesignJet 430 24 Inch,6306
HP,DesignJet,DesignJet 230,
Xerox,Other,2230 IJ Color,
HP,DeskJet,DeskJet 1200 C PS,2165
HP,DeskJet,DeskJet 1200 S PS,2165
HP,DeskJet,DeskJet 1200 S,2165
HP,DeskJet,DeskJet 1200 PS,2165
HP,DeskJet,DeskJet 1200 C,2165
HP,CopyJet,Copyjet Series,2050
HP,CopyJet,Copyjet M,2050
HP,CopyJet,Copyjet,2050
AM,Other,ESD Quadjet,
Encad,Other,Cadjet 2,54366
Encad,Other,Cadjet 1,
Lexmark,X,X 9300 Series,10284
Lexmark,X,X 9350,10284
Lexmark,X,X 9350 Business Edition,10284
Lexmark,X,X 9500 Series,16205
Lexmark,X,X 6500 Series,19635
Lexmark,X,X 4900 Series,19632
Lexmark,X,X 4800 Series,14588
Lexmark,X,X 9570,16205
Lexmark,X,X 7675,19644
Lexmark,X,X 4950,19632
Lexmark,X,X 9575,16205
Lexmark,X,X 4875,14588
Lexmark,X,X 4975 VE,19632
Lexmark,X,X 6575,19635
Lexmark,X,X 7550,14587
Lexmark,X,X 6570,19635
Lexmark,X,X 4850,14588
Lexmark,Z,Z 1520,14584
Lexmark,X,X 4975,19632
Lexmark,P,P 350,10189
Samsung,SF,SF-4100 Series,
Samsung,SF,SF-4200 Series,
Samsung,SF,SF-3200 P,
Samsung,SF,SF-3100 P,
Samsung,SF,SF-4108,
Samsung,SF,SF-4220,
Samsung,SF,SF-4400,
Samsung,SF,SF-4200,
Samsung,SF,SF-4100,
Lexmark,P,P 3100 Series,4693
Lexmark,Z,Z 700 Series,2368
Lexmark,P,P 702,2366
Lexmark,P,P 701,2366
Lexmark,P,P 700 Series,2366
Lexmark,P,P 709,2366
Lexmark,Z,Z 716,2368
Lexmark,Z,Z 718,2368
Lexmark,Z,Z 707,2368
Lexmark,Z,Z 706,2368
Lexmark,Z,Z 704,2368
Lexmark,Z,Z 702,2368
Lexmark,P,P 705,2366
Lexmark,P,P 3120,4693
Lexmark,Z,Z 715,2368
Lexmark,Z,Z 708,2368
Lexmark,Z,Z 703,2368
Lexmark,P,P 703,2366
Lexmark,P,P 708,2366
Lexmark,P,P 704,2366
Lexmark,P,P 3150,4693
Lexmark,P,P 706,2366
Lexmark,Z,Z 705,2368
Lexmark,P,P 707,2366
Lexmark,Z,Z 701,2368
Acer,Other,M 610,
Lexmark,Z,Z 22,1955
Compaq,IJ,IJ 600,2032
Lexmark,Z,Z 12,1954
Lexmark,Z,Z 32,1948
Epson,Stylus SX,Stylus SX 440 Series,37393
Epson,Stylus SX,Stylus SX 430 Series,37608
Epson,Stylus SX,Stylus SX 445 W,37393
Epson,Stylus SX,Stylus SX 440 W,37393
Epson,Stylus SX,Stylus SX 435 W,37608
Epson,Stylus SX,Stylus SX 438 W,43249
Epson,Stylus SX,Stylus SX 430 W,38644
Epson,Stylus,Stylus T 22,34392
Epson,Stylus,Stylus T 12,
Epson,Stylus,Stylus L 300,30009
Epson,Other,L 355,45047
Epson,Stylus,Stylus L 100,30009
Epson,Stylus,Stylus N 11,34392
Epson,Stylus,Stylus T 25,34392
Epson,Stylus,Stylus TX 120,30136
Epson,Other,L 550,45046
Epson,Stylus,Stylus L 200,30009
Epson,Stylus,Stylus TX 320 f,
Epson,Stylus,Stylus L 210,30009
Epson,Stylus SX,Stylus SX 130,34501
Epson,Stylus,Stylus L 350,
Epson,Stylus,Stylus T 11,
Epson,Stylus,Stylus L 110,30009
Epson,Stylus SX,Stylus SX 125,30136
Epson,Stylus S,Stylus S 22,30009
Epson,Stylus,Stylus TX 420 w,30137
Epson,Stylus SX,Stylus SX 420 Series,30138
Epson,Stylus Office,Stylus Office BX 305 FW Plus,29994
Epson,Stylus,Stylus TX 420 Series,30137
Epson,Stylus,Stylus TX 420,30137
Epson,Stylus SX,Stylus SX 230,37394
Epson,Stylus Office,Stylus Office BX 305 F,29994
Epson,Stylus Office,Stylus Office BX 305 FW,29994
Epson,Stylus SX,Stylus SX 425 W,30138
Epson,Stylus SX,Stylus SX 420 W,30137
Epson,Stylus SX,Stylus SX 235,37394
Epson,Stylus SX,Stylus SX 235 W,37394
HP,OfficeJet Pro,OfficeJet Pro 8600 Premium e-All-in-One,38350
HP,OfficeJet Pro,OfficeJet Pro 8600 e-All-in-One,36905
HP,OfficeJet Pro,OfficeJet Pro 8100 ePrinter,36779
HP,OfficeJet Pro,OfficeJet Pro 251 dw,45236
HP,OfficeJet Pro,OfficeJet Pro 8600 Plus e-All-in-One,36905
HP,OfficeJet Pro,OfficeJet Pro 276 dw,45237
HP,OfficeJet Pro,OfficeJet Pro 8660 e-All-in-One,
HP,OfficeJet Pro,OfficeJet Pro 8610 e-All-in-One,51692
HP,OfficeJet Pro,OfficeJet Pro 8630 e-All-in-One,51693
