sku,weight
936376,2.51
MAKC04960,1.154
MAKC04966,2.371
MVBP4535,1
1643-av4,52.2
1643-av5av6,52.1
A722W00-av4,59
CLK126-av4ay7,20.9
CLK181-av4ay7,1
CLK186-av4,26.2
SS2014,0.91
SS2018,1
11282,0.115
01733501.UK-XX,0.1
24-602,0.09
24-603,0.09
24-609,0.03
16-102,0.135
32-501,0.015
A4GPIML,1
A4GPISO,0.335
HVML64,0.085
7100-PFL,0.236
7110-PFL,0.551
7115-PFL,2.42
7124-PFL,1
7127-PFL,0.41
7131-PFL,0.202
7135-PFL,0.229
7136-PFL,2.106
7139-PFL,0.42
6131-PFL (PUR),0.255
24002,0.595
PLA-CUP-8OZ,0.38
92318,0.855
INCRUSB3.0SDMSD,0.02
INFD64GBNEONYL3.0,0.02
INFD8GBNEONPK3.0,0.02
INSDX64G10-45U1,0.013
OTO-SONORA-AV-LANCE,1
211/7000Z,2.95
211/7001Z,3.01
214-BLUZ,2.52
349-YLWZ,2.95
PRW2-YLWZ,2.02
100100688,1
100102212,7.368
100102543,1
100103049,1
FS315-PNKZ,5.12
FS315-REDZ,5.07
1054D-XX2,0.1
FB401NY,0.115
100080446-XX200,0.1
400050725-XX200,0.1
400051200-XX200,0.1
400051488-XX,0.1
1904057,1
63443,0.15
PR2855,0.44
33701,1
A03807,0.347
A03810,0.185
15DEPRA7,2.075
15LAPLA7,2.075
BLACKA2-BK,1.2
CT1010,1.162
HCI02,0.26
HCI03,0.375
PWG02,2.02
RP34PLAT,1
USB10,0.36
WMPP-BK,0.236
WMPP-SV,0.23
2302148,0.065
CAPESP0001,1
43381,0.03
H12/GST,0.68
CAN2389,0.94
CANMB5350,1
17068,0.03
FC12-BN,0.075
94618,0.23
1080,4.597
GPS3A3Z,0.14
51949,1.03
01373-XXX,0.1
LG42LN549C,1
P06589,0.94
A4GP1510,3.35
A5RPFM,1.27
TWA4RPX,1
7087-PFL,0.255
7089-PFL,0.26
7091-PFL,0.19
7112-PFL,0.45
7114-PFL,1.798
7118-PFL,1.86
7121-PFL,0.711
7126-PFL,0.35
M01388,0.915
926404,0.185
904937-XX200,0.1
904940-XX200,0.1
4944132,0.18
499501,1.27
761312,0.455
4-360-8,0.13
4-361-4,0.05
4-751002,0.14
4-751005,0.135
4-780049,0.17
4-8280100,0.16
4-950049,0.29
11080094,0.51
39560094,0.175
39570004,0.28
39770004,0.1
10050044999,0.1
60580001,0.915
BL27-A-X2,0.1
BL27-C-X2,0.1
MWL5M-AO,0.28
2004460-05,0.024
106344,0.29
88/46-XX200,0.1
CO142,0.94
GL158,1
INFD32GBNEONPK3.0,0.02
INFD32GBNEONYL3.0,0.02
INFD16GBNEONYL3.0,0.0101
432 M-3,0.09
1003980811,3.37
211/6005Z,3.62
214-GRNZ,2.49
214-GRYZ,2.56
349-GRNZ,3.01
349-REDZ,2.91
PRW2-BUFZ,2.02
PW2-PNKZ,3.77
PW2-REDZ,3.65
PW3-PNKZ,4.02
PW3-REDZ,3.91
100100072,1
100100194,1
100101547,1
100102575,1
100104866,1
100106012,1
100106023,1
100106029,1
639751,0.274
1903906,0.055
1903952,1.52
93862,0.08
100080543,3.14
400051877,2.84
400051879,1.57
400051960,1.58
2100762,0.345
2103778,0.305
2103780,0.025
2103966,1
2103968,1
2104012,2.77
3000109,2.581
1883460,0.692
1883577,0.692
1883579,0.798
R039245,0.62
R002223,0.62
71134,0.355
47672-1,1
5STAFD16GBPASBK30Q,0.045
935559,0.76
936143,2.27
936151,3.5
936186,2.5
936318,2.495
936384,2.54
MAKC04961,1.313
CLK122-av4ay7,18.3
CLK182-av4,14.4
H296NL-av4,1
654-4SSB-EV-EU,0.17
14792,1
13303,0.13
15432,0.15
6296-NVY,0.38
HVWET4,1
7083-PFL,0.353
7084-PFL,0.345
7086-PFL,0.26
7107-PFL,0.96
7109-PFL,0.355
7113-PFL,0.499
7117-PFL,2.16
7134-PFL,0.298
6130-PFL (BLU),0.24
6132-PFL (CLR),0.248
M01385,0.565
M01386,1.26
15694,0.18
5200350-XX2,0.1
PLA-CUP-12OZ,0.33
Assorted Sizes,0.06
Screeneo PHD1550,1
INFD16GBNEONPK3.0,0.02
211/6000Z,3.57
211/6001Z,3.56
100100084,1
100101606,1
100103244,1
100103303,1
100103410,2.3
100104602,1
100104819,1
100106017,11.6
100106027,1
100106034,1
214-YLWZ,2.51
218-BLUZ,2.63
PRW2-GRNZ,2.02
PW3-BLUZ,3.97
PW3-ORGZ,3.97
PW3-YLWZ,4.03
218-GRNZ-x,2.58
M01387,1.02
FC-12,0.065
GPB1A3Z,0.7
GPT1A2Z,1.6
8.16965E+11(4),1
S570CITYGRYLGE,1
S570NAVYMED,1
DT1-9214,7.86
T03426,0.03
T03428,1
AMIRA3,0.954
419218,1
400048626,1
400048628,0.605
FCR0026,0.12
PM024TT.01,1
PSF2-av4,1
3R98844,6.397
115-0496,6.577
108231-XX,0.77
108232-XX,0.77
935555,0.3
935656,1.588
935664,1.5
935725,2.4
935729,1
936326,2.495
936372,2.54
MAKC04965,1.736
MVBP2917,0.69
1623-av5av6,1
1653-av4,1
CLK122-av4,18
CLK126-av4,20.8
CLK186-av4ay7,25.8
PIT522P1,1
MAGRKB,0.045
SAM1728,0.34
FCR112712EV,1
FCR12276EV,1
45508,2.75
A07750,0.24
47240,0.365
24-608,0.081
24-618,0.03
01374-XXX,0.1
01375-XX,0.1
29912,0.045
GEN006,2.52
48801,7.84
4472601,1.35
4481601,1
E191T Grey,1
17006CLR,0.02
HPPP58,0.33
6061-PFL (CLR),1
7098-PFL,0.206
7099-PFL,0.25
7106-PFL,0.8
7122-PFL,2.1
7125-PFL,0.35
7129-PFL,0.41
7138-PFL,2.96
M01389,0.59
M02073,0.472
8801068,0.635
LSF-090-23W,0.18
2736,4.273
2930,4.285
2931,4.389
391175,1
GPS3A4Z,1
GPT1A3Z-5,3.84
K39544WW2,0.053
DT1002,15
DTD8613,1
A07747,0.8
RS538219,0.69
FCR1011-XX1,0.1
278N.01,2
F28901,1
348-REDZ,4.83
349-BLUZ,3.03
803696,2.95
100100523,1
100100875,1
100100970,1
100101443,1
100102752,11.6
100102982,1
100103562,1
100104506,1
100105062,1
100105963,1
100106010,1
100106015,1
PW2-BUFZ,3.7
PW2-GRYZ-x,3.77
RY01081,0.385
4481401,1
400051203-XX200,0.1
400051533-XX,0.1
400053945,1
4481301,2.85
4481701,1.39
9112101XX2,0.1
K39690EU2,1
TN900CRT,0.78
15DEPRA4,3.798
45342,0.15
63442,0.15
1903897,0.41
1904060,1
1904061,1
1904064,1.101
1904066,1.101
TW51408-X2,0.1
15DEPRA6,2.952
7220-ART,0.375
7377-ART,0.464
9737RCA01,0.215
BLACKA3-BK,0.74
BLACKA4-BK,0.5
HCD02,0.28
HCD03,0.37
HCP03,0.38
DT4B1C,0.175
PWB01,2.02
TADBBC-DX,0.07
868868,6.463
70552,0.18
A07753,1.03
02004501-XX,0.1
10100402-XX,0.1
01735501.UK-XX,0.1
32-507,0.011
32-509,0.01
86475,0.515
2302151,0.07
21643,1
U86PMP,1
VRS12A,1
N07572,0.84
CAPESP0006,1
10145,12.5
A07756,0.175
400051488-XX200,0.1
B05109,0.44
2725,3.87
00740X,0.25
GPL1A4Z,1.773
GPT1A4Z,1.867
X01239,0.76
X041,7.39
S570NAVYLGE,1
1904053,1
44V643,0.27
44V645,0.27
45303,0.15
21637,2.02
p28008,1.38
KT2855,0.21
KT2860,0.205
DT5667,5.43
T03871,1
T04665,1
T05535,1
EDU212,1.12
FCR0008-XX1,0.1
FCR0027,0.12
255N.01,1.3
257TM.35,1.72
4065X4.35,1
NST001,2
NST550,2.01
RY00362,1.32
RY00441,0.705
RY01154,1.79
PSF3-av4,1
5010010,5.69
15LAPLA5,5.608
4061.01-X2,0.1
4063.01-X2,0.1
5280-00-95,1
7373-ART,0.628
A24001/SM3090N,12.3
BASF1016GRC-IUK,5.28
COLOURA3-PGD,0.75
ICE28,1
E20012,1.084
PWY02,2.31
WB100410,2.12
OP-1CL,0.1
46069,0.65
46125,0.5
654-SN-XX200,0.1
24-606,0.09
24-607,0.085
24-616,0.03
24-617,0.03
24-620,0.03
32-508,0.01
32-511,0.01
805385,0.185
805828,0.22
2.18141E+14(1),1
DA70A4,1
253581145,0.21
1910074,0.3
78509,0.11
CAPESP0004,0.76
R112793,0.6
HIP75A3,1
43256,0.025
6341,6.51
3q-s,0.35
400051533-XX200,0.1
NIK2040,0.755
TN900MRT,0.78
1904055,1
1904062,1
1904068,1.101
44V644,0.27
45343,0.15
63405,0.15
88FT347,0.45
TW51208-X2,0.1
DK2999,0.94
KT2850,0.21
PR4699,0.545
15LAPLDL,3.247
7378-ART,0.85
9739PWK01,3.05
CT1513,2.177
CUA5092A-UK,0.29
FUMXAT,0.025
JY-614,0.82
LB-A3,1
COLOURA1-PGD,1.75
WB100427,2.17
95950,0.225
655-SN-XX200,0.1
80215,1
10406-800,0.295
253581059,0.19
90411,0.585
3350/01-XX,0.1
4-400001,0.125
39590094,0.28
42450053,0.48
60470051,0.425
60570001,0.59
60570023,0.59
60570036,0.59
60570062,0.59
60570064,0.59
60580044,0.9
60580062,0.89
BL27-V-X2,0.1
MWL5M-AO-XX,0.1
47300500,0.065
49300500,0.065
1900184,0.03
UK/70/48-1,1.07
FY95,2.95
1006752321,0.645
7938000,1
1902397W,10.05
1902396W,11.5
1902679,1
1903936,8
1903955,0.75
1903957,0.75
400051874,2.84
2103976,0.114
2103978,0.145
2104028,0.23
2105902,7
49215,0.1
1883557,0.535
1883559,6.58
R002219,0.62
77245,0.062
77296,0.062
162560000,0.14
43715-1,0.47
PRO-W-12SSCOL-R330,0.905
6982,0.233
8474,3.41
8484,3.31
125-0486,1.79
108233-XX,0.77
935591,0.043
935630,0.92
935636,1.321
935660,1.253
935733,1
935745,1
936305,2.495
936350,5.05
936364,4.99
1633-av5av6,1
1643-av1,52.1
AST871W-av4,1
CLK182-av4ay7,22.2
ET410/10/2S.SL-av1,1
H125NL-av4,1
H2910NL-av4,1
51948,0.655
904938-XX200,0.1
919378,0.02
1709018058,1.86
13301,0.126
24133,0.001
46820-XX1,0.1
4945131,0.255
81417787,0.056
4-2000C001,0.14
4-360001,0.165
4-363001,0.17
MS-100TER II,0.162
6293-NVY,1
6443-MET,2.03
6444-MET,2.79
A421020,3.35
PERA5SG,0.87
6126-PFL,0.18
6129-PFL (PNK),0.25
6136-PFL (CLR),0.203
6142-PFL (CLR),0.001
7085-PFL,0.264
7092-PFL,0.19
7111-PFL,0.985
7116-PFL,0.74
7137-PFL,0.175
YZ8037,11
39770094,0.105
89015,5.43
P3,0.14
INFD8GBNEONYL3.0,0.02
S520-B-XX,0.1
214-BUFZ,2.5
218-REDZ-x,1
218-YLWZ-x,1
348-PNKZ,4.42
349-BUFZ,3.05
349-PNKZ,3.04
FS315-BUFZ,5.14
FS315-YLWZ,5.15
100100323,1
100100338,1
100100873,1
100101246,11.6
100102102,1
100102905,1
100103469,1
100103594,1
100106022,1
100106031,11.01
400004419,1
PRW2-PNKZ,2.02
1900182,0.03
88/40-XX200,0.1
UK/70/48-2,1.06
990 02,0.33
1006752301,0.645
1007700741,0.366
2101100011,0.4
53345E,0.494
1902392W,6.15
1903939,13.3
132771,0.225
148511,0.025
83816,0.126
400053151,0.33
400053602,2.4
400053604,2.77
2103654,0.76
2103779,0.035
2103969,3.32
2103971,0.111
2104030,0.23
2105903,9.94
1883561,0.798
R002222,0.62
R039246,0.62
TAE511109,0.585
TAE511259,0.83
77238,0.062
77300,0.001
77303,0.06
162545000,0.137
44024-1,0.015
654-4SSG-EV-EU,6.148
FCR11276EV,1
vrspw1,1
GPL1A3Z,0.7
GPT2A4Z,1.49
GPT3A4Z,2.21
S570CITYGRYXLGE,1
ps010,2.27
FCR0030,0.12
ES1256,2.68
97659,1
273.01,0.03
4062.35,0.996
RY00483,3.42
430495,0.1
2309-820-104 XX,0.77
OMB390207760,33
A07751,0.21
A07752,0.635
47185,0.31
47237,0.335
47238,0.56
47239,0.36
SS2013,0.934
ASDU400D1-XX,0.6
01736501.UK-XX,0.1
02003501.UK-XX,0.1
01970501-X3,0.1
24-613,0.035
24-619,0.03
32-503,0.01
32-506,0.011
32-510,0.01
32-514,0.01
S1512,0.192
841842-XX200,0.1
904947,0.28
MLFS10,1
3350/23-XX,0.1
4944131,0.175
4945132,0.255
587202,0.05
4-2200C001,0.165
4-363-8,0.135
4-751049,0.165
332208,0.33
7-159200,0.7
10050064999,0.1
11080069,2.7
39590004,0.28
42450094,0.48
S520-C-XX,0.1
20101001,0.13
45101203,0.148
229101201-XX200,0.1
290067,7.84
124636000,0.16
100080459-XX200,0.1
400051534-XX200,0.1
400053944,1
88/41-XX200,0.1
1443251-XX1,0.1
CO152,0.705
1442B,0.04
C38GREY,0.41
C38TURQUOISE,0.42
TN900YRT,0.78
1903922,1
1903975,1.16
1904069,1.101
63403,0.15
DK4699,1.03
1006752351,0.645
1013000011,0.315
4001677,0.585
41907022,0.99
9739KSP01,0.665
BT19-IUK,3.684
CSE32C,0.245
FPCLIPDRY50ASS,0.32
S4W12C,0.51
RPFMODPLAT,1
UBP0106A,0.2
56742E,1
6184,6.61
1903948,21.35
148517,0.04
N06196,0.075
400049397,0.32
400051875,2.84
2103653,1.06
2103973,0.145
2104003,2.07
2104043,0.195
68187,0.06
77254,0.064
77307,0.063
81026,0.02
162453000,0.136
162461000,0.14
67480,1.391
113166,0.1
AST40W.SL-bh1,1
2.18141E+14(2),1
2.18141E+14(3),1
DA90A4,2.8
253578833,0.85
253581103,0.39
CAPESP 0007,1
HIP75A4,1
43257,0.03
654-SS-VP24COL-EU,1.09
655Y-VP20,1.12
2082811,1
131-0477,0.06
935575,0.045
935601,0.04
935652,1.315
935687,0.78
935695,0.76
935717,0.093
936148,1.51
936342,2.45
936368,4.99
936399,2.55
MV320505,0.805
MV480505,1
1633-av1,1
CLK121-av4,18.2
CLK124-av4,19.5
CLK124-av4ay7,20
A402W11:45-av4,33.7
H3915NL-av4,21.32
1441P,0.035
15421,0.15
46810-XXX,0.1
6294-NVY,1
6500,1
HV245,0.425
PERA4SG,1
7093-PFL,0.485
7094-PFL,0.405
7095-PFL,0.265
7097-PFL,0.2
7103-PFL,1.53
7104-PFL,1
7108-PFL,0.265
7123-PFL,2.16
7133-PFL,0.31
7140-PFL,1.03
7142-PFL,1.7
12079880-XX9,0.1
89572,0.825
P9,0.021
INFD64GBNEONPK3.0,0.02
211/7002Z,2.95
211/7005Z,2.95
211/80003Z,2.92
214-ORGZ,2.47
348-YLWZ,4.82
803646,1
FS315-BLUZ,5.12
100100108,1
100100290,1
100101386,1
100102904,1
100103318,1
100104923,1
100105319,1
100106016,1
100106024,1
100106032,1
PRW2-BLUZ,1.99
PRW2-REDZ,2.02
PW2-BLUZ,3.7
PW2-ORGZ,3.64
2093811,1
112-0493,7.98
935539,0.76
935563,0.082
935567,0.08
935648,1.3
935672,2.033
935679,3.02
935698,0.786
935703,0.775
936300,2.495
936392,2.54
J90005,1
MAKC04962,1.837
MAKC04963,2.086
1623-av4,1
AST651W-av4,1
CLK121-av4ay7,1
CLK181C-av4,1
CLK184-av4ay7,23.9
11281,0.115
29931,0.045
6295-NVY,1
A3GPIVY,0.621
PER64BU,0.829
TWA4RPP,1
6064-PFL (BLU),1
7088-PFL,0.26
7105-PFL,1
M01384,0.215
2302175,0.133
2302192,0.195
FCHMCH12075EV,1.66
FCHMKT12060EV,1.41
FCHMSP15060EV,0.96
348-GRNZ,4.78
349-ORGZ,2.98
100100617,1
100101873,1
100102311,1
100104469,1
100106014,1
100106019,7
100106026,1
FS315-GRNZ,5.05
PW2-YLWZ,3.81
PW3-GRNZ,4.03
GB20L,1
DTD6569,1
T00178,1
FCR0025-XX1,0.1
EPP-10,0.255
RY00308,0.145
RY00317,2.74
RY00464,0.42
FCK85140,1
8837,0.11
82866,1.15
1805,3.478
2726,4.24
2936,4.24
S570NAVYXLGE,1
01966501.UK-XX,0.1
01970501-X2,0.1
05065501-XX,0.1
16-100,0.1
16-101,0.135
24-600,0.07
24-614,0.03
L4832-40,0.33
817317,1.275
DTD8620,1
97653,1.2
276N.01,14
4063.01,0.376
RY00365,1.17
RY01153,3.46
430535,0.1
PSF4-av4,1
OTO-SOUNDBASE,1
400051204-XX200,0.1
400051510-XX,0.1
400051532-XX,0.1
400051532-XX200,0.1
46116,3.3
01965501.UK-XX,0.1
02002501.UK-XX,0.1
24-601,0.09
24-605,0.09
24-612,0.03
32-500,0.01
32-504,0.01
32-505,0.011
32-513,0.01
L4840-40,0.345
L4843-40,0.36
1903892,0.055
1904063,1.101
1904065,1.104
1904071,1.101
15DEPRA5,5.513
15LAPLA6,3.282
41907021,0.01
7375-ART,0.765
9737BWT01,0.14
BORB20,0.43
CTH2513,4
S6ISMC,0.6
620W,0.385
EXPWALBK,0.48
PWG01,1.99
128109,7.2
86489,0.565
100103711-XX200,0.1
100080220-XX200,0.1
400051201-XX200,0.1
400051510-XX200,0.1
TN2320RT,0.675
TN900BKRT,0.78
1903972,1
1904054,1
1904056,1
1904059,1
1904067,1.102
1904070,1.101
44V641,0.27
63447,0.15
KT2999,0.21
805378,0.1
805811,0.2
113160,0.685
DA90A3,1
253581025,0.419
CAPESP0005,1
VEMR5701-B,1
4062.01-X2,0.1
7376-ART,1.54
B4W5MP,0.64
BLACKA1-BK,1.75
CSC52C,0.215
CSIE5C,0.16
MS-OT1,1
N03088,1
UBP0108A,0.335
PWY01,2.02
HW440,5.35
86477,0.57
2.18141E+14(4),1
DA100A4,1
253581070,0.225
1910073,0.3
8-1933R8,0.395
9-1933R3C,0.565
5227B005AA,0.1
RCA5/110,0.5
220028,1.337
305601,1
330023,1.465
333001,1
524519,0.142
557900,2.392
720201,0.345
721119,1
4541B009AA,0.1
145902,0.248
257901,1
257900,1
257903,1.46
305406,1
818100,0.423
223401,1
226006,1
810719,0.319
305301,1
305401,1
238507,1
257902,1.462
305606,1
220928,1.471
690802,1
711319,1
333301,1
291919,1
822901,0.251
KX-FC265E-T,0.1
858919,1
720301,0.6015
330123,1
335001,1
BLG107-01,0.12
BLG107-02,0.14
FX83GTPLUS-SB-UT,0.19
T-1200,0.93
BLG107-03,0.118
0620B027AA,0.1
CE989A#B19,1
1T02LC0NL0,1
0615B006AA,0.1
0617B006AA,0.1
DMQ570,0.1
MX-23GTCA,0.638
S050034,1
DQTUS20C,0.1
X350A35008,0.1
842044,0.68
CC653AE#UUS,0.057
0617B001,0.075
UG5545,1
90ST,0.1305
A0D7151,1.216
MX-23GTYA,0.621
AR-451DM,0.1
581400,0.346
CE249A/67909,3.496
1903873-xx,0.1
1903897-xx,0.1
2103743-xxx,0.1
2104010-xx,0.1
2104013-xx,0.1
3000040-xx,0.1
33033412-xx,0.1
D26103-xx,0.1
K39723EU-xx,0.1
K72338UKA-xx,0.1
255367,0.14
849125,1
16129AS-xx,0.1
2100029-xx,0.1
2103971-xx,0.1
3000041-xx,0.1
1903813-xx,0.1
2100026-xx,0.1
2104011-xx,0.1
3000042-xx,0.1
4400752-xx,0.1
A07821,1
A07822,1
2100H-BK,0.652
SSS,1
2100749-xx,0.1
K97044WW-xx,0.1
ML1500e,1
86403,0.45
86442,0.45
A24006W,11.2
2100D,0.44
86443,0.45
RC2120i-GY,0.755
34631178-xx,0.1
3747347-xxx,0.1
D26104-xx,0.1
PT-D200BWVP,1.7
2100748-xx,0.1
3000043-xx,0.1
4401843-xx,0.1
248530,1
C925-BK,0.673
2102433-xx,0.1
2103778-xx,0.1
D26110-xx,0.1
K97042WW-xx,0.1
2104009-xx,0.1
2104012-xx,0.1
3747348-xxx,0.1
D26111-xx,0.1
TP Archer D7,1
36423,0.239
PTD200BWVPZU1,0.1
9422A004,0.92933
0968A008,0.1
9421A004,0.9415
2028-S,0.164
0264B002,1.16
660-S,0.542
RIC431013,0.87
TAE510229-X,0.1
TAE511009-X,0.1
1KQ500201,0.62
731HBK,0.79
IR2520TONER,0.965
IR2880BTONER,0.9
IR2880CTONER,0.455
DELL59311129,0.1
DELL59311130,0.1
RIC405761,0.145
IR2020CTONER,0.453
IR2800WB,0.35
IR2870TONER,1.61
IR5030CTONER,0.77
590620,0.04
CANONCEXV21,0.45
CANONIR1133TONER,1.27
IR2020YTONER,0.435
IR5045BTONER,1.33
IR1021BTONER,1.48
IR2020BTONER,0.615
IR5030YTONER,0.775
IR2880YTONER,0.455
MINA0X5153,0.365
MINA0XV0TD,0.1
MINA11G451,0.1
MINTN321C,0.8
MINTN512K,0.82
MINTN612C,0.1
OKI44059166,0.61
OKI44173406,0.195
OKI44472202,2.23
MINA0X5152,0.355
MINA11G151,0.84
MINA11G351,0.1
OKI44059165,0.61
OKI44059167,0.59
OKI44472603,1.49
OKI44973535,0.185
MINTN321M,0.785
OKI44173405,0.14
OKI44574307,1.78
OKI44973534,0.185
OKI44992402,0.36
IR5030BTONER,1.05
T07154010,0.1
DELL59311128,0.1
DELL59311144,0.1
RIC405763,0.12
RIC406055,1.52
RIC430351,0.685
KYTK710,3.28
RIC405762,0.115
RIC885266,0.435
MINTN213K,1.21
OKI44341902,2.25
OKI09004294,0.32
OKI44059168,0.61
OKI44315108,1.34
OKI44968301,4.99
CF283AD,1.24
3Q-MT0729D,0.33
KYTK825C,0.67
RIC406054,1.51
MINA0X5252,0.33
OKI44973508,0.535
KYTK3100,0.68
MINA0X5352,0.32
MINA0XV0RD,0.1
MINTN321Y,0.815
MINTN612M,0.82
OKI43571802,0.115
OKI44973533,0.19
OKI44973536,0.46
CANON731M,0.78
IR2016TONERSING,0.715
IR5030MTONER,0.77
IR5030WB,0.35
PANAKX-FADC510X,2.91
DELL59311167,0.955
RIC841587,0.4
12232480-xx,0.1
RIC405532,0.1
RIC405764,0.12
RIC406052,1.5
MINA0X5452,0.345
OKI43503601,0.18
DELL59311109,1.05
DELL59311131,0.1
RIC405688,0.135
RIC406053,1.48
TAE511259-X,0.1
MC45,0.1
EL531XBWH,0.21
RB600G,0.1
1975B002,1
4021950,12.941
882526,0.91
016-1679-00,0.1
101R00203,0.64
PTD600VPZW1,1
1870B002,0.68
1979B002,0.775
1978B002,0.775
0266B002,1.02
TK-340,0.766
9961000251,0.1
9286A003AA,1
9284A003AA,0.9325
6991B008,14.1
BX-3UNBOXED,0.1
TK-510K,0.52833
HL6050DZU1,1
9539B008,1
S0720160,0.03
3500B002AA,0.82
C2P05AE,0.065
S051061,1
MK-350,1
TK-825M,0.69
1734523,0.06
TZE561,0.1
32500,0.395
35800,0.145
18435,0.035
TZE161,0.1
1977B002,0.775
1980B002,0.775
2661B002,0.871
1491A003,1.057
9424A004,0.943
DCP7055WZU1AG,0.1
DCPL2500DU1AG,0.1
MFCJ5320DWU1AG,0.1
MFCJ870DWU1AG,0.1
HL3140CWU1AG,0.1
DCP9020CDWU1AG,0.1
DCPJ4120DWU1AG,0.1
FAX8360PU1AG,0.1
MFC8520DNZU1AG,0.1
MFCJ4420DWU1AG,0.1
HL1212WU1AG,0.1
HL3150CDWU1AG,0.1
MFCJ5625DWU1AG,0.1
PTD450VPZW1,1
DCP1512U1AG,0.1
3484B002,0.78
9623B010,2.5
1658B002,1.5
1T02HJAEU0,0.53
HL3170CDWU1AG,0.1
4370B002,0.465
8489A002,1.04
9423A004,0.9415
HLL2300DU1AG,0.1
MFC1810U1AG,0.1
A4-M210,1.2
ADS2100EZU1,5.4
1557A003,1.04
1T02G60DE0,0.52
1872B002AA,0.1
1976B002AA,1.3
4369B002AA,0.46
6836A002,1.444
CN046AE#BGX,0.072
4367B002AA,0.46
6622B001AA,0.1
4368B002AA,0.46
8640A002,0.17
MX18GTMA,0.1
2801B002AA,0.99
3482B002AA,2.31
KXFAT430X,0.93
86041,0.1
2797B002AA,0.99
M00575,0.1
2450B002,0.1
DQ-TUS20Y-PB,0.1
T15764010,0.1
T15734010,0.1
2448B002,0.1
60066062027,1
AM-30DC,1
4400423BUNDLE,0.1
9629A002,1.61
CR3CL,0.1
T24214010,0.1
DQ-TUV20Y-PB,0.1
MCA_200MIF,0.286
T24284010,0.1
AR-208T,0.1
DQ-TUV20C-PB,0.1
T15724010,0.1
T26214010,0.1
T15744010,0.1
407013 407652,0.1
0908B005AA,0.1
M2875FD/SEE,1
CF082A,1
CN047AE#BGX,0.08
6620B001AA,0.18
940401,0.1
842022,0.1
842015,0.34
2101B002AA,0.1
6987B008,1
5258B020,11.5
CLX-3305FW/SEE,1
2200/03,1.35
M00571,0.1
X250A25028,0.1
X370I37003,0.1
DQ-TUN20C-PB,0.1
X160A16004,0.1
X370I37002,0.1
407008,2.85
X130B13002,0.1
X250A25017,0.1
3645,0.233
DF-120TER II,0.277
82727,0.66
0616B001,0.06
43837129-1,0.1
60470044XX2,0.1
2644B002AA,1.57
6647A002,1.32
593-111421,0.1
842031,0.1
C13T03464010-1,0.06
9818A002A,0.045
C13T03434010-1,0.06
52263044XX2,0.1
60470036XX2,0.1
IKP03,11.302
TW60HAN,1.031
A03100H-1,1.49
7007T,0.1
60470001XX2,0.1
C13T034540101,0.06
C13T03444010-1,0.06
52263023XX2,0.1
52263064XX2,0.1
60470064XX2,0.1
8041901,0.778
8042201,0.29
2400,0.72
S520-A-XX,0.1
52263036XX2,0.1
60470023XX2,0.1
L7160-100-X2,0.1
L7161-100-X2,0.1
SCX-4216D3-1,1
BN9,0.86
IS400C,1
SPPCT50-S,0.38
56S,0.1
PVC40,8.916
TW60CCSS,1.029
JZ04,0.056
IKP05,15.692
TW60QUA,1
BD50,1.34
IS300C,1
TW60FRA,1.02
56C,1
52263001XX2,0.1
EFC12,0.033
PSFS400,0.83
PT1530,1
3817,0.1
593-111411,0.1
593-111431,0.1
13302,0.129
S520-D-XX,0.1
FG2703-88-BLU,0.37
L7159-100-X2,0.1
L7162-100-X2,0.1
L7163-100-X2,0.1
MPS12,5.334
7008T,0.125
SR80,1.427
TW60REJ,1.054
8331B008AA,1
LFH-2236,0.13
9622B010AA,1
TK-440,1.2
3115B001AA,0.8
7626A002,1
8643A002,0.37
1T02M70NL0,0.238
DQ-TUS20M,0.1
9634A002,1.75
CF081A,1
52M 2016,0.1
BU300CL,1.7
3115B001,0.74
12881,0.1
7372-ART,0.294
40276,0.1
2055,0.445
118,0.411
20101001,0.13
MD53M 2016,0.1
38M 2016,0.1
218140800612752,0.1
218140800512512,0.1
40M 2016,0.1
C13T664140,0.1
5020,0.551
61127,0.83
40062,0.1
95072,10.7
IB410086,0.228
684ARR4,0.028
550,0.84
5580/5591-00-00,0.1
902428,0.055
ADMINPAYMENT,0.1
003R90649,2.529
LY4628001,0.1
22471,0.1
12455,1.208
1476,0.568
51062,0.529
0615B042,0.1
CATALOGUE,0.1
SE100,3.53
TEST,0.1
TEST02,0.1
TEST03,0.1
12450,0.78
04601/CS46,0.38
48201,0.246
411018,0.1
N2272626,0.1
JC96-03957B,0.1
2101435,15.6
G354,1
RB2-2891,0.1
SL-305ECO-W-EH,0.05
4400110,4.54
2102402,1
G356,1
LFH067,2.351
EA781R-BK Black,0.005
S0850440,0.094
XMW50MER2-AC,1
0-SWK-BN0625,0.148
654-N-PI,0.248
7691/7667,0.729
8414040,1
PF827PL2,0.453
ET410/19/4SB,72.249
H125NL-74,1
Spr78B,0.008
K26739,5.307
MT2-SIL,20
MT3-SIL,1
JC91-00969A,1
JC96-04840C,0.1
JC96-04868A,0.1
CE525-67902,0.1
LU7176001,0.1
LU6068001,0.1
CR1620,0.001
EP27CART,0.1
XAVNB2001-100UKS,0.606
TN611C,0.1
MX26YEL/MX31,0.1
MX26MGT/MX31,0.1
592-10226/91,0.1
593-10338/PK496,0.1
39602,1
BCI-6CMYBL,0.1
SG-201 A4,0.1
WR5300,0.012
